,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
329,1.6,0.5,R,0.456,0.33299999999999996,72,6-8,10.1,3.5,2.4,Luke Walton,PF,1.8,366931,4000000,0.6,LAL,13.3,2004,0.255
330,0.7,0.7,R,0.48700000000000004,0.0,73,6-9,13.4,0.1,4.6,Darius Songaila,PF,3.1,366931,3942000,0.6,SAC,16.4,2004,0.0
331,0.1,,R,0.5,0.33299999999999996,13,6-6,3.7,5.6,1.0,Matt Carroll,SG,0.2,349032,5050000,0.2,POR,13.7,2004,0.273
332,0.1,,R,0.429,0.365,8,6-9,2.4,5.6,1.0,Travis Outlaw,PF,0.5,941040,4000000,0.1,POR,24.3,2004,0.0
333,0.5,2.1,R,0.484,0.33299999999999996,53,6-6,14.1,0.3,5.3,Mickael Pietrus,PG,2.2,1527946,3470770,0.8,GSW,18.7,2004,0.455
334,2.4,0.5,R,0.43700000000000006,0.33799999999999997,69,6-2,16.1,3.2,5.5,Luke Ridnour,PG,1.6,1424400,6500000,1.2,SEA,19.3,2004,0.22899999999999998
335,2.4,1.2,R,0.488,0.395,70,6-3,21.4,0.4,7.9,Leandro Barbosa,PG,1.8,809280,5600000,1.7,PHO,18.6,2004,0.447
336,1.0,0.1,R,0.462,0.0,82,7-0,22.5,0.3,6.1,Chris Kaman,C,5.6,2394600,8600000,1.9,LAC,15.7,2004,0.005
337,0.8,0.6,R,0.483,0.387,77,6-4,16.4,0.1,6.4,Tony Allen,SG,2.9,901920,2500000,1.0,BOS,18.9,2005,0.08
338,0.3,0.7,R,0.5329999999999999,0.0,71,6-10,14.8,0.1,6.7,Al Jefferson,PF,4.4,1407240,11000000,0.9,BOS,21.2,2005,0.008
339,1.4,1.6,R,0.47700000000000004,0.358,39,6-4,13.0,0.1,4.5,Delonte West,SG,1.7,939480,3850000,0.6,BOS,17.0,2005,0.43200000000000005
340,0.3,2.0,1,0.397,0.358,42,6-8,7.8,0.6,2.8,Josh Davis,PF,1.9,620046,314041,0.4,PHI,18.0,2005,0.47700000000000004
341,3.0,2.9,R,0.55,0.331,82,6-6,32.8,1.5,9.0,Andre Iguodala,SG,5.7,1914480,11300000,1.7,PHI,12.8,2005,0.26
342,1.0,0.5,R,0.495,0.0,75,7-0,26.2,5.4,10.0,Nenad Krstic,PF,5.3,939480,4778548,1.5,NJN,19.0,2005,0.004
343,0.6,0.6,R,0.561,0.424,82,6-10,18.9,0.9,7.2,Matt Bonner,C,3.5,385277,2987000,0.5,TOR,15.7,2005,0.19899999999999998
344,1.1,0.7,R,0.449,0.231,80,6-8,17.3,0.5,5.9,Trevor Ariza,SF,3.0,385277,3100000,0.9,NYK,17.8,2005,0.033
345,1.3,1.2,R,0.402,0.257,30,6-6,15.3,1.2,3.9,Carlos Delfino,SG,1.8,901920,3500000,0.8,DET,16.1,2005,0.299
346,0.5,0.0,1,0.48,0.5,47,6-7,10.0,1.2,3.2,Ronald Dupree,SF,2.0,620046,58393,0.5,DET,16.9,2005,0.016
347,2.2,1.8,R,0.47200000000000003,0.265,61,6-9,27.3,0.1,11.7,Luol Deng,SF,5.3,2273400,9385000,1.9,CHI,22.4,2005,0.18100000000000002
348,4.9,0.8,R,0.35,0.355,82,6-1,26.5,0.7,5.9,Chris Duhon,PG,2.6,385277,5585000,1.5,CHI,13.1,2005,0.5429999999999999
349,2.0,1.7,R,0.414,0.405,82,6-3,24.4,0.7,15.1,Ben Gordon,SG,2.6,3358320,6404750,2.3,CHI,30.4,2005,0.313
350,1.5,1.7,R,0.429,0.258,81,6-7,23.4,0.1,8.4,Andres Nocioni,SF,4.8,2525000,8000000,1.7,CHI,19.7,2005,0.161
351,0.5,1.6,R,0.518,0.0,54,6-10,16.0,0.0,4.9,Anderson Varejao,PF,4.8,788000,5784480,0.5,CLE,14.4,2005,0.01
352,1.0,1.7,R,0.429,0.0,3,6-9,9.0,2.9,2.3,Dorell Wright,SF,0.3,1152240,2612835,1.0,MIA,24.9,2005,0.364
353,0.9,1.5,R,0.521,0.0,82,6-11,32.6,2.0,12.0,Dwight Howard,PF,10.0,4179720,13758000,2.0,ORL,16.7,2005,0.003
354,3.0,2.2,R,0.49700000000000005,0.312,79,6-0,20.4,0.7,8.7,Jameer Nelson,PG,2.4,1106160,7700000,1.5,ORL,21.4,2005,0.225
355,0.9,0.5,R,0.447,0.0,73,6-10,35.6,0.2,15.1,Emeka Okafor,PF,10.9,3739680,9537500,1.7,CHA,21.8,2005,0.001
356,1.9,2.0,R,0.493,0.23199999999999998,80,6-8,29.7,0.3,10.1,Josh Childress,SG,6.0,2490360,6500000,1.3,ATL,16.0,2005,0.087
357,1.7,0.5,R,0.434,0.33299999999999996,62,6-3,13.0,4.7,3.5,Royal Ivey,PG,1.4,425000,854957,0.9,ATL,15.8,2005,0.045
358,1.7,2.0,R,0.466,0.174,74,6-9,27.7,1.7,9.7,Josh Smith,SF,6.2,1270080,10000000,1.8,ATL,18.4,2005,0.038
359,0.4,0.3,R,0.541,0.0,82,6-10,17.0,0.0,5.6,Nick Collison,C,4.6,1969680,6350000,0.8,SEA,15.5,2005,0.008
360,0.9,2.6,R,0.523,0.271,29,6-6,17.9,1.1,6.3,Damien Wilkins,SF,2.3,385277,3100000,0.6,SEA,17.7,2005,0.35100000000000003
361,3.3,0.1,R,0.42100000000000004,0.24600000000000002,68,6-0,19.6,0.5,6.8,Sebastian Telfair,PG,1.5,1559280,2300000,1.8,POR,21.2,2005,0.16
362,0.6,0.8,R,0.406,0.33299999999999996,67,6-9,13.0,,4.1,Kris Humphries,PF,2.9,1481400,3200000,0.8,UTA,20.2,2005,0.021
363,1.3,0.5,1,0.442,0.22699999999999998,43,6-7,16.6,0.6,3.8,Matt Barnes,SF,3.1,695046,3000000,1.0,SAC,13.8,2005,0.146
364,0.5,0.8,R,0.435,0.2,45,6-7,10.1,2.2,2.9,Kevin Martin,PG,1.3,872040,8760335,0.5,SAC,16.1,2005,0.214
365,5.0,,R,0.418,0.0,30,6-7,27.1,,7.4,Shaun Livingston,PG,3.0,3027840,3500000,2.5,LAC,18.0,2005,0.009000000000000001
366,1.4,0.4,R,0.434,0.25,78,6-6,21.3,0.7,5.1,Quinton Ross,SG,2.7,620046,854957,0.7,LAC,13.3,2005,0.011000000000000001
367,1.5,,R,0.29600000000000004,0.27,35,6-7,11.5,,2.9,Sasha Vujacic,SG,1.8,846840,4524887,0.4,LAL,15.8,2005,0.5379999999999999
368,0.4,2.0,R,0.584,0.0,30,6-11,12.8,,3.6,Andris Biedrins,C,3.9,1727760,9000000,0.4,GSW,12.4,2005,0.013000000000000001
369,1.9,1.4,R,0.46399999999999997,0.408,80,6-3,14.4,0.1,5.9,Beno Udrih,PG,1.0,841680,5585000,1.0,SAS,20.5,2005,0.364
370,2.2,0.3,R,0.48100000000000004,0.336,76,6-3,15.4,0.9,5.7,Devin Harris,PG,1.3,2741880,7800000,1.1,DAL,18.8,2005,0.358
371,0.0,3.6,R,0.429,0.39899999999999997,15,7-0,3.9,2.5,1.0,Didier Ilunga-Mbenga,C,0.5,800000,249478,0.3,DAL,16.0,2005,0.0
372,1.9,2.4,R,0.45799999999999996,0.28800000000000003,76,6-6,24.5,7.3,10.3,J.R. Smith,SG,2.0,1206600,4985001,1.4,NOH,23.2,2005,0.376
373,0.3,1.3,R,0.424,0.067,39,6-7,9.5,6.7,1.8,Antoine Wright,SG,0.8,1461360,2110550,0.5,NJN,14.2,2006,0.185
374,0.3,0.0,R,0.45399999999999996,0.2,57,6-10,8.5,,2.3,Shavlik Randolph,PF,2.3,398762,255054,0.4,PHI,14.0,2006,0.0
375,1.0,3.1,R,0.491,0.33299999999999996,61,6-7,22.6,2.9,7.6,Ryan Gomes,PF,4.9,428762,3867500,0.9,BOS,15.9,2006,0.025
376,0.6,0.1,R,0.508,0.3,32,6-7,11.7,,5.2,Gerald Green,SG,1.3,1253040,443181,0.7,BOS,21.7,2006,0.145
377,4.5,1.0,R,0.465,0.163,64,6-3,23.2,,5.5,Jose Calderon,SG,2.2,2190000,8219009,1.6,TOR,14.1,2006,0.138
378,0.8,1.0,R,0.517,0.33299999999999996,80,6-7,19.8,,6.7,Joey Graham,SF,3.1,1388400,884881,1.2,TOR,16.5,2006,0.21
379,1.1,1.0,R,0.503,0.327,81,6-11,29.1,0.3,13.0,Charlie Villanueva,PF,6.4,2360880,6500000,1.2,TOR,21.7,2006,0.228
380,0.8,0.2,R,0.479,0.33299999999999996,65,6-11,24.2,0.4,12.3,Channing Frye,C,5.8,2162880,2000000,1.5,NYK,24.2,2006,0.013999999999999999
381,0.6,0.2,R,0.596,0.25,67,6-9,16.9,0.2,5.1,David Lee,SF,4.5,861360,7000000,0.8,NYK,13.5,2006,0.0
382,2.0,0.2,R,0.41100000000000003,0.397,72,5-9,21.4,0.4,9.3,Nate Robinson,PG,2.3,1102680,4000000,1.6,NYK,22.5,2006,0.258
383,1.0,0.5,R,0.7140000000000001,0.667,3,6-9,13.0,3.8,6.7,Amir Johnson,SF,1.3,398762,3666666,1.3,DET,19.2,2006,0.3
384,0.1,4.2,R,0.426,0.0,26,6-7,6.1,3.8,2.3,Jason Maxiell,PF,1.1,905640,5000000,0.4,DET,24.9,2006,0.0
385,1.2,2.6,R,0.496,0.32299999999999995,78,6-9,22.6,0.3,7.5,Danny Granger,SF,4.9,1318920,9930500,1.0,IND,16.4,2006,0.195
386,2.3,2.0,R,0.536,0.0,82,7-0,28.6,1.2,9.4,Andrew Bogut,PF,7.0,4340520,10000000,1.5,MIL,15.9,2006,0.005
387,0.0,2.8,R,0.313,0.171,8,7-0,5.6,6.1,1.6,Earl Barron,C,1.3,398762,185588,0.6,MIA,23.4,2006,0.0
388,0.3,0.0,R,0.426,0.231,29,6-11,6.0,0.0,2.2,Andray Blatche,PF,1.3,398762,3000000,0.4,WAS,21.5,2006,0.19399999999999998
389,0.7,0.2,R,0.33299999999999996,0.439,23,6-1,10.7,2.5,3.8,Travis Diener,PG,0.9,398762,1740000,0.4,ORL,15.7,2006,0.826
390,0.9,0.3,R,0.415,0.414,36,6-6,15.7,,5.8,Alan Anderson,SF,1.9,398762,1276061,0.9,CHA,18.2,2006,0.32
391,5.6,4.7,R,0.405,0.358,80,6-1,30.1,0.7,11.9,Raymond Felton,PG,3.3,2847360,5501196,2.3,CHA,21.4,2006,0.307
392,0.8,,R,0.46399999999999997,0.245,79,6-9,24.7,1.6,8.5,Marvin Williams,PF,4.8,3883560,7500000,1.1,ATL,16.9,2006,0.1
393,0.2,0.0,R,0.469,0.154,61,6-8,8.5,1.1,3.5,Linas Kleiza,PF,1.9,879360,4995000,0.3,DEN,19.4,2006,0.075
394,0.7,,R,0.41100000000000003,0.25,23,6-6,8.8,,3.4,C.J. Miles,PG,1.7,398762,3700000,0.4,UTA,21.8,2006,0.263
395,4.5,0.3,R,0.423,0.41600000000000004,80,6-3,28.8,0.1,10.8,Deron Williams,PG,2.4,3487400,12323900,1.8,UTA,20.3,2006,0.272
396,0.2,,R,0.51,0.25,68,7-0,18.9,1.1,5.2,Johan Petro,C,4.4,936600,884881,0.9,SEA,13.7,2006,0.0
397,2.8,0.4,R,0.48,0.263,79,6-3,20.2,0.5,6.7,Jarrett Jack,SG,2.0,1058640,4500000,1.3,POR,17.8,2006,0.17800000000000002
398,0.6,1.1,R,0.446,0.35700000000000004,61,6-7,17.5,0.5,6.6,Martell Webster,SF,2.1,2586120,4344000,0.7,POR,18.7,2006,0.523
399,0.2,0.5,R,0.402,0.364,46,7-0,7.3,1.0,1.6,Andrew Bynum,C,1.7,1888680,12526998,0.4,LAL,15.0,2006,0.0
400,0.3,1.2,R,0.19,0.11800000000000001,16,6-5,4.6,1.0,1.3,Von Wafer,SG,0.5,398762,915852,0.1,LAL,26.6,2006,0.447
401,1.4,1.0,R,0.484,0.285,67,6-7,19.4,0.9,5.6,Francisco Garcia,SF,2.8,1016400,5800000,1.1,SAC,15.7,2006,0.42200000000000004
402,0.4,5.1,R,0.484,0.222,29,6-2,5.2,1.5,2.1,Ronnie Price,PG,0.5,398762,1250000,0.3,SAC,22.4,2006,0.466
403,0.4,1.7,R,0.524,0.222,69,6-8,14.9,,7.0,Ike Diogu,PF,3.3,1988160,608772,1.1,GSW,21.0,2006,0.0
404,1.6,,R,0.441,0.341,49,6-3,18.1,,6.8,Monta Ellis,SG,2.1,448762,11000000,1.2,GSW,20.2,2006,0.258
405,0.5,1.9,R,0.484,0.0,59,6-10,8.3,4.1,1.7,Fabricio Oberto,C,2.1,2325000,2100000,0.5,SAS,12.9,2006,0.022000000000000002
406,0.2,0.2,R,0.457,0.33299999999999996,37,6-9,11.6,5.4,3.0,Josh Powell,PF,2.2,398762,959111,0.6,DAL,13.4,2006,0.0
407,0.4,0.9,R,0.44299999999999995,0.16699999999999998,68,6-9,10.6,1.1,4.1,Hakim Warrick,PF,2.1,1196520,3000000,0.8,MEM,22.5,2006,0.0
408,0.1,,R,0.4,0.25,29,6-8,9.2,,2.3,Brandon Bass,PF,2.3,398762,4000000,0.4,NOK,15.6,2006,0.0
409,7.8,1.4,R,0.46399999999999997,0.282,78,6-0,36.0,4.7,16.1,Chris Paul,PG,5.1,3144240,13520500,2.3,NOK,22.2,2006,0.187
410,0.5,0.9,R,0.455,0.2,6,6-6,6.3,,2.8,Stephen Graham,SG,1.2,48630,884881,0.8,HOU,28.6,2006,0.313
411,2.7,0.8,R,0.445,0.361,80,6-3,28.9,1.3,8.8,Luther Head,SG,3.3,975600,884881,1.5,HOU,16.6,2006,0.49700000000000005
412,0.8,0.0,R,0.46799999999999997,0.373,65,7-0,25.1,2.1,11.6,Andrea Bargnani,PF,3.9,4501200,8500000,1.6,TOR,22.6,2007,0.429
413,2.1,0.4,3,0.5,0.441,73,6-6,33.4,2.1,12.4,Anthony Parker,SG,3.9,4150000,2855700,1.0,TOR,15.7,2007,0.38
414,0.2,0.6,R,0.5,0.5,17,6-6,4.9,2.8,1.8,P.J. Tucker,SF,1.4,412718,5500000,0.4,TOR,19.1,2007,0.0
415,3.3,0.1,R,0.446,0.282,79,6-3,16.6,0.7,6.8,Marcus Williams,PG,2.1,1097880,855189,1.8,NJN,25.0,2007,0.31
416,0.4,2.2,R,0.491,0.34700000000000003,67,6-7,17.4,4.1,6.6,Rodney Carney,SF,1.9,1439760,377116,0.6,PHI,18.7,2007,0.184
417,0.6,2.4,R,0.54,0.185,68,6-8,15.6,,4.9,Renaldo Balkman,SF,4.3,1191240,1675000,0.7,NYK,15.5,2007,0.098
418,0.2,2.3,R,0.451,0.0,63,6-8,11.4,,4.2,Leon Powe,C,3.4,432000,915852,0.7,BOS,18.1,2007,0.011000000000000001
419,3.8,2.0,R,0.43200000000000005,0.207,78,6-1,23.5,4.6,6.4,Rajon Rondo,PG,3.7,1143600,9090911,1.8,BOS,16.5,2007,0.064
420,0.4,0.6,R,0.429,0.28,23,6-4,8.8,0.4,3.2,Shannon Brown,SG,0.9,971280,2200000,0.6,CLE,21.1,2007,0.33799999999999997
421,1.2,0.5,R,0.43,0.419,60,6-2,16.5,0.4,4.6,Daniel Gibson,PG,1.5,412718,4015334,0.7,CLE,13.4,2007,0.537
422,0.8,1.6,R,0.439,0.35700000000000004,71,6-7,12.2,3.1,3.6,Thabo Sefolosha,SG,2.2,1679280,3250000,0.8,CHI,17.2,2007,0.16399999999999998
423,0.6,4.5,R,0.479,0.0,72,6-9,13.4,3.1,5.2,Tyrus Thomas,PF,3.7,3260760,6611570,1.3,CHI,20.9,2007,0.006999999999999999
424,0.5,1.4,R,0.519,0.365,46,6-9,12.1,,3.9,Shawne Williams,SG,1.8,1367760,3000000,0.5,IND,15.5,2007,0.325
425,0.7,0.5,R,0.395,0.365,66,6-10,14.7,,6.1,Ersan Ilyasova,PF,2.9,664209,7900000,0.8,MIL,21.0,2007,0.408
426,1.5,0.7,R,0.37799999999999995,0.35100000000000003,42,6-2,9.7,1.2,3.4,Chris Quinn,PG,0.7,412718,861978,0.5,MIA,19.6,2007,0.435
427,0.9,1.7,R,0.433,0.38799999999999996,42,6-4,14.8,1.3,6.0,J.J. Redick,PG,1.2,1860720,7250000,0.5,ORL,18.1,2007,0.503
428,0.0,,R,0.556,0.0,27,7-0,6.9,,2.4,Ryan Hollins,C,1.1,412718,2333333,0.6,CHA,17.1,2007,0.0
429,0.2,0.2,R,0.512,0.0,58,6-10,11.5,0.3,3.3,Solomon Jones,PF,2.3,675000,1500000,0.4,ATL,12.8,2007,0.008
430,0.0,,R,0.33299999999999996,0.667,5,6-6,3.8,0.3,1.6,Jeremy Richardson,SG,0.4,55365,511295,0.2,ATL,16.9,2007,0.5
431,0.5,0.1,R,0.45399999999999996,0.5,81,6-9,18.7,0.8,5.5,Shelden Williams,PF,5.4,2952840,915852,1.2,ATL,15.9,2007,0.011000000000000001
432,0.4,0.2,R,0.5539999999999999,0.0,56,6-7,12.1,0.1,4.6,Ronnie Brewer,SG,1.3,1595400,4790000,0.4,UTA,16.8,2007,0.047
433,0.8,2.6,R,0.527,0.33299999999999996,82,6-8,18.0,0.3,6.8,Paul Millsap,PF,5.2,625000,7600000,1.1,UTA,17.8,2007,0.008
434,0.4,3.9,R,0.505,0.0,63,6-11,22.1,,9.0,LaMarcus Aldridge,C,5.0,4027320,11244000,0.7,POR,19.3,2007,0.004
435,3.3,3.9,R,0.5,0.282,67,6-3,12.9,,3.7,Sergio Rodriguez,PG,1.4,912000,8000000,1.1,POR,17.8,2007,0.35600000000000004
436,4.0,0.7,R,0.475,0.377,57,6-6,35.4,2.8,16.8,Brandon Roy,SG,4.4,2681880,13520500,2.0,POR,23.0,2007,0.191
437,1.5,0.1,2,0.502,0.406,75,6-6,28.6,1.6,8.4,Ime Udoka,SF,3.7,744551,264232,1.0,POR,13.7,2007,0.426
438,2.8,1.0,R,0.45799999999999996,0.368,82,6-4,22.9,,10.1,Randy Foye,PG,2.7,2448240,4250000,1.9,MIN,22.9,2007,0.268
439,0.6,0.5,R,0.5379999999999999,0.0,82,6-7,18.7,,7.4,Craig Smith,PF,5.1,412718,2300000,0.9,MIN,18.7,2007,0.013000000000000001
440,1.9,1.5,R,0.503,0.32799999999999996,72,6-2,15.1,0.5,4.4,Jordan Farmar,PG,1.7,939120,3750000,1.0,LAL,15.8,2007,0.466
441,0.9,1.5,1,0.551,0.0,72,6-10,15.1,0.5,5.3,Ronny Turiaf,C,3.6,664209,4000000,0.7,LAL,15.7,2007,0.004
442,0.6,2.6,1,0.573,0.14300000000000002,78,6-6,22.0,0.4,5.6,Chuck Hayes,PF,6.7,664209,1972500,0.8,HOU,11.9,2007,0.0
443,0.2,2.6,R,0.455,0.33299999999999996,35,6-10,5.5,3.8,1.5,Steve Novak,SF,0.7,600000,350179,0.1,HOU,13.4,2007,0.78
444,0.2,0.5,R,0.544,0.429,56,6-11,11.3,1.1,3.1,Hilton Armstrong,C,2.7,1767600,992680,0.6,NOK,13.6,2007,0.0
445,1.3,0.0,R,0.436,0.364,78,6-8,27.0,3.5,10.8,Rudy Gay,SF,4.5,2242290,13603750,1.8,MEM,21.3,2007,0.188
446,3.2,1.0,R,0.36700000000000005,0.375,10,6-0,17.5,2.3,5.6,Kyle Lowry,PG,3.1,1011720,5750000,1.2,MEM,16.1,2007,0.21100000000000002
447,0.4,1.1,R,0.484,0.0,69,6-9,13.6,0.6,4.5,Glen Davis,C,3.0,427163,6300000,0.9,BOS,17.4,2008,0.0
448,0.3,0.2,R,0.46299999999999997,0.28600000000000003,76,7-0,14.6,1.4,4.5,Jason Smith,PF,3.0,1233840,2500000,0.6,PHI,16.1,2008,0.045
449,0.8,0.3,R,0.5479999999999999,0.316,74,6-8,21.0,0.3,8.2,Thaddeus Young,PF,4.2,1830720,7478261,0.9,PHI,17.4,2008,0.039
450,0.9,,R,0.45799999999999996,0.3,35,6-8,19.6,1.9,7.3,Wilson Chandler,SF,3.6,1091640,5930414,0.8,NYK,19.2,2008,0.124
451,0.7,0.6,R,0.461,0.20800000000000002,75,6-5,12.9,0.1,3.7,Arron Afflalo,SG,1.8,944520,7562500,0.5,DET,15.2,2008,0.19899999999999998
452,2.8,0.5,R,0.41,0.188,57,6-5,19.0,0.1,7.6,Rodney Stuckey,PG,2.3,1569600,8500000,1.4,DET,23.1,2008,0.042
453,0.7,0.4,R,0.507,0.0,61,7-0,10.0,,4.3,Aaron Gray,C,2.8,427163,2500000,0.9,CHI,22.0,2008,0.005
454,1.1,2.8,R,0.484,0.0,74,6-11,20.7,,6.6,Joakim Noah,C,5.6,2135400,12000000,1.2,CHI,15.6,2008,0.003
455,0.8,2.0,R,0.42700000000000005,0.28600000000000003,66,7-0,25.0,,8.6,Yi Jianlian,PF,5.2,2777760,827197,1.4,MIL,18.4,2008,0.04
456,7.5,0.6,R,0.436,0.429,17,6-3,26.5,,8.1,Ramon Sessions,PG,3.4,427163,4257973,2.1,MIL,17.1,2008,0.06
457,0.3,4.0,R,0.47100000000000003,0.0,6,6-11,6.8,2.6,3.0,Marcin Gortat,C,2.7,427163,6790640,0.3,ORL,22.7,2008,0.0
458,0.6,1.8,R,0.392,0.16699999999999998,70,6-9,9.9,2.3,1.3,Dominic McGuire,SG,2.0,427163,915852,0.6,WAS,10.4,2008,0.057999999999999996
459,0.8,1.8,R,0.45,0.4,75,6-7,15.4,2.3,7.5,Nick Young,SG,1.5,1491240,3695857,1.3,WAS,24.9,2008,0.209
460,1.5,1.1,R,0.502,0.0,81,6-10,31.4,2.5,10.1,Al Horford,C,9.7,3745800,12000000,1.7,ATL,16.0,2008,0.006999999999999999
461,2.0,0.0,R,0.433,0.20600000000000002,56,6-3,15.4,0.1,4.2,Acie Law,PG,1.0,1927080,203057,1.0,ATL,16.5,2008,0.14300000000000002
462,1.1,0.2,R,0.502,0.22,73,6-7,19.0,,5.8,Jared Dudley,PF,3.9,1137000,4250000,0.7,CHA,14.9,2008,0.11800000000000001
463,0.1,1.4,R,0.467,0.42100000000000004,24,6-9,20.8,0.7,3.5,Joel Anthony,PF,3.9,427163,3600000,0.7,MIA,9.4,2008,0.0
464,1.3,1.4,R,0.424,0.332,59,6-5,24.4,0.3,8.8,Daequan Cook,SG,3.0,1184400,3341558,1.1,MIA,19.8,2008,0.46299999999999997
465,0.3,0.8,R,0.667,0.0,8,6-10,3.5,,1.5,Josh McRoberts,PF,1.3,427163,3000000,0.3,POR,20.3,2008,0.1
466,1.4,0.8,R,0.389,0.19399999999999998,79,6-9,22.8,0.2,5.8,Corey Brewer,SF,3.7,2535720,3243000,1.1,MIN,15.6,2008,0.07400000000000001
467,2.4,0.1,R,0.455,0.28800000000000003,80,6-9,34.6,0.2,20.3,Kevin Durant,SG,4.4,4171200,15506632,2.9,SEA,28.1,2008,0.15
468,1.5,0.1,R,0.444,0.276,80,6-9,28.2,1.2,10.5,Jeff Green,SF,4.7,3058200,8385000,2.0,SEA,19.4,2008,0.10099999999999999
469,0.5,2.3,R,0.385,0.39,33,6-5,7.3,,2.9,Marco Belinelli,SG,0.4,1345800,3377604,0.4,GSW,19.1,2008,0.441
470,1.1,2.3,R,0.45299999999999996,0.34600000000000003,32,6-2,11.5,,3.7,C.J. Watson,PG,1.0,125479,3400000,0.6,GSW,15.1,2008,0.257
471,0.2,2.3,R,0.5539999999999999,0.39,38,6-10,9.9,,4.0,Brandan Wright,PF,2.6,2323080,5000000,0.3,GSW,16.0,2008,0.0
472,0.6,0.1,R,0.478,0.19,71,7-1,13.1,0.1,4.7,Spencer Hawes,C,3.2,2028600,4051024,0.8,SAC,19.2,2008,0.066
473,0.2,3.3,R,0.5,0.0,6,6-11,3.8,2.8,3.5,Ian Mahinmi,C,0.8,938760,4000000,0.3,SAS,37.4,2008,0.0
474,1.7,1.5,R,0.491,0.33,51,6-0,11.9,0.0,5.2,Aaron Brooks,PG,1.1,972720,3250000,0.9,HOU,21.8,2008,0.484
475,0.5,3.1,R,0.619,0.0,42,6-9,16.9,2.1,8.1,Carl Landry,PF,4.9,427163,8500000,0.6,HOU,18.8,2008,0.005
476,1.3,1.4,R,0.517,0.0,82,6-9,24.7,0.1,10.3,Luis Scola,PF,6.4,2910000,8591793,1.3,HOU,19.8,2008,0.004
477,4.2,0.4,R,0.45299999999999996,0.33,53,6-1,26.1,,9.4,Mike Conley,PG,2.6,3377160,6611571,1.7,MEM,18.8,2008,0.20600000000000002
478,0.4,0.1,R,0.506,0.25,79,6-10,16.0,4.4,7.7,Marreese Speights,C,3.7,1542600,4200000,0.6,PHI,21.9,2009,0.016
479,0.8,0.2,R,0.41700000000000004,0.365,66,6-10,19.9,,7.4,Ryan Anderson,PF,4.7,1225200,8700000,1.0,NJN,18.6,2009,0.46399999999999997
480,1.0,1.2,R,0.532,0.0,82,7-0,30.5,3.9,13.0,Brook Lopez,C,8.1,2098560,13668750,1.8,NJN,20.3,2009,0.002
481,0.5,,R,0.45299999999999996,0.444,28,6-10,14.7,0.7,6.1,Danilo Gallinari,SG,2.0,2873520,9439000,0.5,NYK,16.0,2009,0.5760000000000001
482,0.1,0.2,R,0.515,0.0,62,6-9,11.4,0.4,4.0,J.J. Hickson,C,2.7,1329480,4000000,0.7,CLE,18.0,2009,0.0
483,6.3,2.6,R,0.491,0.222,81,6-3,37.0,0.9,16.8,Derrick Rose,PG,3.9,4822800,17632688,2.5,CHI,22.6,2009,0.06
484,2.8,0.1,1,0.474,0.158,57,6-0,14.1,0.2,7.2,Will Bynum,PG,1.3,711517,3250000,1.3,DET,27.9,2009,0.055999999999999994
485,0.7,0.5,R,0.47100000000000003,0.303,70,7-2,14.4,0.8,7.1,Roy Hibbert,C,3.5,1465400,13686750,0.8,IND,23.3,2009,0.0
486,0.9,0.4,R,0.451,0.373,75,6-6,24.0,0.8,8.1,Brandon Rush,SG,3.1,1799160,4000000,1.0,IND,16.4,2009,0.363
487,1.1,2.2,R,0.466,0.0,82,6-8,25.8,1.0,7.2,Luc Mbah a Moute,PF,5.9,757000,4795192,1.2,MIL,14.3,2009,0.008
488,1.2,1.5,R,0.478,0.40399999999999997,77,6-5,25.2,4.8,8.4,Courtney Lee,SG,2.3,1176240,5000000,0.9,ORL,15.5,2009,0.376
489,1.0,2.2,R,0.478,0.40700000000000003,81,6-9,24.8,6.4,13.9,Michael Beasley,PF,5.4,4314960,5750000,1.5,MIA,27.7,2009,0.085
490,4.9,0.3,R,0.467,0.36700000000000005,82,6-2,32.0,0.4,10.0,Mario Chalmers,PG,2.8,700000,4000000,2.0,MIA,16.3,2009,0.47
491,0.1,1.1,R,0.373,0.0,31,7-2,5.9,,2.3,Alexis Ajinca,PF,1.0,1276320,4300000,0.4,CHA,24.2,2009,0.028999999999999998
492,3.5,3.0,R,0.424,0.439,72,6-0,26.5,1.6,11.8,D.J. Augustin,PG,1.8,2208960,3500000,1.7,CHA,20.8,2009,0.396
493,0.4,2.4,R,0.409,0.303,33,6-7,8.1,,2.6,Cartier Martin,SF,1.0,200252,1145685,0.3,CHA,17.2,2009,0.429
494,0.3,2.1,R,0.494,0.3,75,7-0,15.2,2.5,6.5,JaVale McGee,C,3.9,1392240,10000000,0.8,WAS,20.7,2009,0.0
495,0.9,1.3,R,0.513,0.369,79,6-8,18.4,1.2,5.4,Nicolas Batum,SF,2.8,1040640,10850000,0.6,POR,14.0,2009,0.465
496,1.5,0.0,R,0.38299999999999995,0.259,53,6-3,12.4,3.6,4.3,Jerryd Bayless,PG,1.1,1993560,3000000,1.1,POR,20.9,2009,0.14300000000000002
497,0.4,0.7,R,0.508,0.0,48,7-0,11.8,1.6,4.7,Kosta Koufos,C,2.9,1129320,3000000,0.5,UTA,18.5,2009,0.0
