,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
60,1.0,0.8,R,1.0,0.267,1,6-3,10.0,7.5,2.0,Jason Hart,PG,0.0,316969,242640,2.0,MIL,13.6,2001,0.0
61,2.7,2.1,7,0.38799999999999996,0.373,82,6-2,24.4,2.3,10.1,Lindsey Hunter,PG,2.1,2650000,1600000,0.8,MIL,20.2,2001,0.52
62,0.5,2.1,7,0.545,0.25,82,6-11,24.2,7.5,3.2,Ervin Johnson,C,7.5,2700000,4837633,0.6,MIL,6.5,2001,0.0
63,0.1,2.5,R,0.34299999999999997,0.267,33,7-1,8.2,7.5,0.8,Joel Przybilla,C,2.2,1619880,1500000,0.4,MIL,8.9,2001,0.0
64,0.2,0.8,R,0.313,0.0,6,6-6,5.8,7.5,2.2,Michael Redd,SG,0.7,316969,3000000,0.2,MIL,29.3,2001,0.158
65,3.3,2.1,6,0.493,0.299,76,6-7,37.0,1.3,22.0,Glenn Robinson,SF,6.9,8120000,507336,2.9,MIL,29.2,2001,0.126
66,1.8,2.1,3,0.44,0.41200000000000003,76,6-10,27.4,1.5,12.6,Tim Thomas,PF,4.1,8510000,12900000,1.5,MIL,21.3,2001,0.34299999999999997
67,0.5,0.1,10,0.47600000000000003,0.25,66,6-10,19.3,7.5,6.1,Scott Williams,C,5.5,4200000,1600000,0.6,MIL,15.4,2001,0.011000000000000001
68,3.9,2.2,2,0.47700000000000004,0.408,75,6-6,39.7,7.7,27.6,Vince Carter,SF,5.5,2425440,12584688,2.2,TOR,30.7,2001,0.24
69,1.4,0.8,7,0.434,0.0,78,6-9,35.0,0.9,13.7,Antonio Davis,C,10.1,5500000,12925000,1.7,TOR,19.5,2001,0.001
70,1.3,2.8,R,0.447,0.382,80,6-7,22.6,1.0,9.3,Morris Peterson,SG,3.2,898560,4400000,1.0,TOR,20.1,2001,0.245
71,5.0,2.8,3,0.451,0.306,82,6-5,29.2,0.9,9.8,Alvin Williams,SG,2.6,2100000,6300000,1.3,TOR,17.4,2001,0.141
72,0.8,0.9,5,0.474,0.0,42,6-7,21.1,1.0,9.3,Corliss Williamson,SF,3.6,3940000,5500000,1.5,TOR,22.6,2001,0.006
73,0.6,0.9,15,0.46399999999999997,0.0,35,7-0,22.0,1.0,8.8,Kevin Willis,C,6.4,2870000,1300000,1.1,TOR,20.0,2001,0.006999999999999999
74,1.6,2.8,7,0.447,0.0,80,6-11,35.1,0.6,8.5,P.J. Brown,C,9.3,5740000,8000000,1.4,CHH,12.5,2001,0.006999999999999999
75,1.3,1.9,10,0.44299999999999995,0.0,78,6-11,30.0,0.6,13.1,Elden Campbell,PF,7.8,8050000,4400000,1.8,CHH,22.8,2001,0.006999999999999999
76,1.1,0.5,10,0.377,0.392,34,6-10,20.1,0.6,8.1,Derrick Coleman,PF,5.4,8000000,4500000,1.2,CHH,22.8,2001,0.2
77,7.3,1.1,1,0.474,0.31,82,6-3,38.9,2.2,13.8,Baron Davis,PG,5.0,2916000,12330000,2.8,CHH,19.2,2001,0.28600000000000003
78,0.4,1.4,R,0.45399999999999996,0.0,74,6-11,14.8,0.6,4.6,Jamaal Magloire,C,4.0,975000,8533333,0.8,CHH,16.7,2001,0.006999999999999999
79,0.6,0.2,R,0.489,0.0,42,6-9,11.2,0.6,3.9,Lee Nailon,SF,2.2,316969,835810,0.6,CHH,17.9,2001,0.006999999999999999
80,4.4,0.4,7,0.434,0.376,82,6-0,37.9,1.4,17.2,David Wesley,SG,2.7,2880000,4455000,2.1,CHH,23.1,2001,0.20800000000000002
81,0.5,0.9,1,0.379,0.268,59,6-11,9.7,7.6,3.3,Jonathan Bender,SF,1.3,2380680,6525000,0.7,IND,21.0,2001,0.22
82,6.1,0.7,5,0.449,0.381,77,5-11,31.9,1.6,11.9,Travis Best,PG,2.9,3500000,1000000,1.6,IND,19.3,2001,0.12300000000000001
83,1.1,1.1,3,0.41700000000000004,0.33799999999999997,81,6-9,23.1,7.6,10.1,Austin Croshere,PF,4.8,5300000,8260000,1.7,IND,23.4,2001,0.295
84,0.5,1.1,1,0.47600000000000003,0.28600000000000003,71,6-11,16.2,7.6,3.5,Jeff Foster,C,5.5,922080,4500000,0.7,IND,12.4,2001,0.033
85,1.7,0.7,2,0.44799999999999995,0.14300000000000002,78,6-9,24.3,7.6,7.5,Al Harrington,PF,4.9,797880,6325000,1.9,IND,18.8,2001,0.013000000000000001
86,3.2,2.7,13,0.48700000000000004,0.366,81,6-7,39.3,3.9,18.9,Reggie Miller,SG,3.5,10670000,5500000,1.6,IND,21.5,2001,0.395
87,1.2,2.7,4,0.46799999999999997,0.0,81,6-11,32.6,1.6,12.9,Jermaine O'Neal,C,9.8,5710000,14796000,2.0,IND,21.2,2001,0.006
88,6.0,2.7,6,0.47600000000000003,0.33899999999999997,72,6-8,40.9,2.3,20.5,Jalen Rose,SF,5.0,9660000,14487000,2.9,IND,25.5,2001,0.14
89,0.2,0.9,2,0.541,0.0,11,7-2,10.9,7.6,3.9,Bruno Sundov,C,2.1,498500,870046,0.3,IND,18.0,2001,0.098
