,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,TPG,Team,USG,Year,pct_from_3
8,1.4,2.0,1,0.465,0.273,74,7-0,20.3,1.5,6.5,Travis Knight,C,4.9,2000000,1.2,BOS,16.4,1998,
9,2.2,0.5,1,0.434,0.309,82,6-10,28.5,3.1,9.6,Walter McCarty,SF,4.4,862560,1.7,BOS,17.7,1998,
10,2.2,0.5,R,0.458,0.107,80,6-7,33.3,3.1,15.3,Ron Mercer,SG,3.5,1768320,1.7,BOS,22.3,1998,
11,1.3,3.7,3,0.462,0.194,69,6-6,16.3,2.4,5.0,Greg Minor,SG,2.2,2160000,0.6,BOS,15.4,1998,
12,0.1,4.5,1,0.375,0.312,9,6-10,4.1,,0.8,Roy Rogers,PF,0.6,763080,0.1,BOS,11.5,1998,
13,0.4,0.6,R,0.513,0.261,33,6-9,11.2,,3.3,John Thomas,PF,2.1,640440,1.0,BOS,15.0,1998,
14,3.3,0.3,1,0.447,0.312,82,6-8,39.9,0.4,22.4,Antoine Walker,PF,10.2,1864080,3.6,BOS,29.2,1998,
0,2.5,0.4,7,0.429,0.265,59,6-10,36.2,0.6,17.6,Derrick Coleman,PF,9.9,8002800,2.7,PHI,25.2,1998,
1,0.5,0.0,15,0.46,0.0,44,6-9,14.9,0.0,5.3,Terry Cummings,PF,3.4,1000000,0.4,PHI,17.4,1998,
2,1.0,0.9,2,0.458,0.0,71,6-7,12.8,0.0,4.0,Mark Davis,SF,2.2,326700,1.3,PHI,18.8,1998,
3,6.2,0.4,1,0.494,0.298,80,6-0,39.4,4.5,22.0,Allen Iverson,PG,3.7,3128640,3.1,PHI,26.9,1998,
4,4.6,1.6,5,0.489,0.348,48,6-6,37.3,0.6,13.7,Jim Jackson,SG,4.7,4600000,3.0,PHI,18.8,1998,
5,0.4,0.0,3,0.395,0.0,20,7-0,16.9,0.0,3.4,Eric Montross,C,4.6,1520000,0.8,PHI,13.2,1998,
6,1.6,3.1,5,0.4,0.0,23,6-3,12.0,0.0,2.7,Doug Overton,PG,0.6,326700,1.0,PHI,15.1,1998,
7,0.5,3.1,R,0.457,0.321,37,6-6,5.3,0.0,1.9,Anthony Parker,SG,0.7,754080,0.3,PHI,19.0,1998,
8,3.0,0.0,2,0.473,0.348,22,6-6,34.0,0.0,16.0,Jerry Stackhouse,SF,3.5,2583360,3.4,PHI,24.1,1998,
9,0.1,3.1,R,0.462,0.214,15,6-8,7.3,3.1,2.7,Kebu Stewart,PF,2.1,242000,0.5,PHI,18.4,1998,
10,1.2,1.6,R,0.476,0.363,77,6-10,23.1,0.6,11.0,Tim Thomas,SF,3.7,1614240,1.5,PHI,22.8,1998,
11,1.1,3.1,4,0.533,0.214,19,6-4,6.7,3.1,2.2,Rex Walters,SG,0.5,1430000,0.9,PHI,18.9,1998,
12,0.5,0.0,7,0.447,0.0,58,6-10,13.8,0.0,4.1,Scott Williams,C,3.6,2850000,0.5,PHI,15.2,1998,
0,0.2,3.1,R,0.4,0.0,6,6-6,2.8,0.6,1.7,Keith Booth,SF,0.7,597600,0.5,CHI,30.7,1998,
1,2.1,1.1,6,0.391,0.0,71,6-2,16.2,1.2,4.1,Randy Brown,PG,1.3,1260000,0.9,CHI,15.6,1998,
2,0.7,0.6,7,0.541,0.385,74,6-6,8.2,0.2,2.7,Jud Buechler,SF,1.0,500000,0.3,CHI,14.7,1998,
3,0.8,1.8,4,0.468,0.354,80,6-7,13.7,0.9,5.2,Scott Burrell,SF,2.5,1430000,0.6,CHI,18.5,1998,
4,0.7,0.2,2,0.505,0.0,51,6-8,13.9,0.2,5.3,Jason Caffey,PF,3.4,850920,0.9,CHI,18.4,1998,
5,2.9,1.9,11,0.477,0.19,82,6-6,27.9,0.4,9.3,Ron Harper,PG,3.5,4560000,1.1,CHI,16.7,1998,
6,3.5,0.0,12,0.482,0.238,82,6-6,38.8,4.6,28.7,Michael Jordan,SG,5.8,33140000,2.3,CHI,33.7,1998,
7,1.9,1.8,9,0.465,0.438,50,6-3,22.4,1.2,7.5,Steve Kerr,PG,1.5,750000,0.5,CHI,14.0,1998,
8,0.7,3.1,12,0.368,0.385,46,6-11,8.6,0.6,2.0,Joe Kleine,C,1.7,272250,0.6,CHI,16.0,1998,
9,4.2,0.7,4,0.48,0.362,74,6-10,30.2,2.2,13.3,Toni Kukoc,SF,4.4,4560000,2.1,CHI,21.9,1998,
10,2.8,1.8,6,0.455,0.19,58,7-2,29.4,4.0,11.4,Luc Longley,C,5.9,3184900,2.2,CHI,21.2,1998,
11,5.8,1.8,10,0.496,0.318,44,6-8,37.5,4.0,19.1,Scottie Pippen,SF,5.2,2775000,2.5,CHI,24.4,1998,
12,2.9,3.7,11,0.448,0.174,80,6-7,35.7,0.4,4.7,Dennis Rodman,PF,15.0,4500000,1.8,CHI,8.7,1998,
13,0.4,3.1,10,0.436,0.385,48,7-0,9.7,0.6,3.5,Bill Wennington,C,1.7,1800000,0.3,CHI,18.9,1998,
0,3.4,0.0,2,0.439,0.3,82,5-11,18.9,4.0,6.5,Travis Best,PG,1.5,752000,1.4,IND,20.0,1998,
1,0.2,7.8,R,0.0,0.429,5,6-9,2.2,4.0,0.0,Etdrick Bohannon,PF,1.2,272250,0.6,IND,30.3,1998,
2,0.3,0.2,R,0.384,0.308,26,6-9,9.3,4.0,2.9,Austin Croshere,PF,1.7,1165440,0.5,IND,20.6,1998,
3,0.7,1.3,4,0.484,0.0,82,6-9,26.7,2.9,9.6,Antonio Davis,PF,6.8,4500000,1.3,IND,17.5,1998,
4,0.9,2.7,6,0.548,0.0,78,6-11,27.9,0.4,8.0,Dale Davis,C,7.8,5273333,0.9,IND,14.2,1998,
5,0.7,1.1,2,0.387,0.376,65,6-4,13.4,4.0,4.0,Fred Hoiberg,SG,1.9,356400,0.3,IND,14.9,1998,
6,8.7,1.3,10,0.447,0.314,82,6-1,29.4,1.8,8.3,Mark Jackson,PG,3.9,3200000,2.1,IND,16.8,1998,
7,1.5,2.9,10,0.471,0.235,57,6-9,23.1,4.0,6.3,Derrick McKey,SF,3.7,3600000,1.4,IND,15.9,1998,
8,2.1,1.3,10,0.504,0.429,81,6-7,34.5,5.3,19.5,Reggie Miller,SG,2.9,9031850,1.6,IND,23.9,1998,
9,2.3,1.5,12,0.503,0.44,82,6-6,26.5,2.9,11.3,Chris Mullin,SF,3.0,2941500,1.4,IND,19.3,1998,
10,0.3,0.7,R,0.342,0.333,28,6-10,6.9,4.0,1.4,Mark Pope,SF,0.9,242000,0.4,IND,14.4,1998,
11,1.9,0.1,3,0.496,0.342,82,6-8,20.8,4.0,9.4,Jalen Rose,SF,2.4,1852500,1.6,IND,23.4,1998,
